tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles
Vocab_SRA_SRA_library_source,,,ref,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_strategy,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_strategy,,,description,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_strategy,,,experiment_type_id,ref,,false,,Vocab_SRA_SRA_experiment_type,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_library_strategy,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_study_type,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_study_type,,,description,,,true,,,,,,,,,,,TrecodeEMX1
Vocab_SRA_SRA_study_type,,,ref,,,true,,,,,,,,,,,TrecodeEMX1
data_store_file,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
data_store_file,,,filename,,,true,,,,,,,,,,,TrecodeEMX1
data_store_file,,,url,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
data_store_file,,,date,datetime,,false,,,,,,,,,,,TrecodeEMX1
data_store_file,,,registration_date,datetime,,false,,,,,,,,,,,TrecodeEMX1
data_store_file,,,checksum,,,true,,,,,,,,,,,TrecodeEMX1
data_store_file,,,egacrypt_md5,,,false,,,,,,,,,,,TrecodeEMX1
data_store_file,,,checksum_type,,,false,,,,,,,,,,,TrecodeEMX1
data_store_file,,,size,long,,true,,,,,,,,,,,TrecodeEMX1
fixed_analysis_type,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_analysis_type,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_analysis_type,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_analysis_type,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
fixed_barcode,,,id,,,true,,,,,,,,,,,TrecodeEMX1
fixed_barcode,,,label,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_barcode,,,sequence,,,true,,,,,,,,,,,TrecodeEMX1
fixed_barcode,,,vendor,,,true,,,,,,,,,,,TrecodeEMX1
fixed_barcode,,,set,,,true,,,,,,,,,,,TrecodeEMX1
fixed_barcode,,,version,,,false,,,,,,,,,,,TrecodeEMX1
fixed_category,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_category,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_category,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_collection,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_collection,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_collection,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_collection,,,ref,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
fixed_consent_type,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_consent_type,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_consent_type,,,title,,,true,,,,,,,,,,,TrecodeEMX1
fixed_consent_type,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_consent_type,,,ref,hyperlink,1,true,,,,,,,,,,,TrecodeEMX1
fixed_genome_version,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_genome_version,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_genome_version,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_genome_version,,,taxon,ref,,false,,fixed_taxonomy,,,,,,,,,TrecodeEMX1
fixed_genome_version,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
fixed_genomics_resource,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_genomics_resource,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_genomics_resource,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_genomics_resource,,,path,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_genomics_resource,,,genome_version_id,ref,,true,,fixed_genome_version,,,,,,,,,TrecodeEMX1
fixed_pathologylab,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_pathologylab,,,institutionlab,heading,,true,,,,,,,,,,,TrecodeEMX1
fixed_pathologylab,,,institution,,,true,,,,,,,,,,,TrecodeEMX1
fixed_pathologylab,,,lab,,,true,,,,,,,,,,,TrecodeEMX1
fixed_pathologylab,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
fixed_protocol,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_protocol,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_protocol,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_protocol,,,category_id,ref,,true,,fixed_category,,,,,,,,,TrecodeEMX1
fixed_protocol,,,ref,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
fixed_sequencing_provider,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_sequencing_provider,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_sequencing_provider,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_sequencing_provider,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
fixed_software_version,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_software_version,,,name,,,true,,,,,,,,,,,TrecodeEMX1
fixed_software_version,,,version,,,true,,,,,,,,,,,TrecodeEMX1
fixed_storage_conditions,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_storage_conditions,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_storage_conditions,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_storage_conditions,,,protocol_id,ref,,false,,fixed_protocol,,,,,,,,,TrecodeEMX1
fixed_syndrome,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_syndrome,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_syndrome,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_syndrome,,,ref,hyperlink,,true,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,scientificname,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,taxonstrain,heading,,true,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,taxon,int,,true,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,strain,,,false,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,ref_taxon,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
fixed_taxonomy,,,ref_strain,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
fixed_topography,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_topography,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_topography,,,code_float,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_topography,,,ref,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
fixed_tumor_type,,,id,int,1,true,,,,,,,,,,,TrecodeEMX1
fixed_tumor_type,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_tumor_type,,,ICDO_code,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_tumor_type,,,clinical_behaviour,,,false,,,,,,,,,,,TrecodeEMX1
fixed_tumor_type,,,ref,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
fixed_workflow_input_tag,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
fixed_workflow_input_tag,,,label,,,true,,,,,,,,,,,TrecodeEMX1
fixed_workflow_input_tag,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
fixed_workflow_input_tag,,,reference,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
genomics_analysis,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_analysis,,,label,,,true,,,,,,,,,,,TrecodeEMX1
genomics_analysis,,,title,,,true,,,,,,,,,,,TrecodeEMX1
genomics_analysis,,,biomaterial_id,ref_array,,false,,genomics_biomaterial,,,,,,,,,TrecodeEMX1
genomics_analysis,,,experiment_id,ref_array,,false,,genomics_experiment,,,,,,,,,TrecodeEMX1
genomics_analysis,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_analysis,,,analysis_id,ref_array,,false,,genomics_analysis,,,,,,,,,TrecodeEMX1
genomics_analysis,,,workflow_instance_id,ref,,false,,pipeline_workflowinstance,,,,,,,,,TrecodeEMX1
genomics_analysis,,,study_id,ref,,true,,genomics_study,,,,,,,,,TrecodeEMX1
genomics_analysis,,,experiment_type_id,ref,,true,,Vocab_SRA_SRA_experiment_type,,,,,,,,,TrecodeEMX1
genomics_analysis,,,run_id,ref_array,,false,,genomics_run,,,,,,,,,TrecodeEMX1
genomics_analysis,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
genomics_analysis,,,workflowrun_id,ref,,false,,pipeline_workflowrun,,,,,,,,,TrecodeEMX1
genomics_analysis,,,external_file_id,ref_array,,false,,data_store_file,,,,,,,,,TrecodeEMX1
genomics_analysis,,,file_id,ref_array,,false,,genomics_file,,,,,,,,,TrecodeEMX1
genomics_assay,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,label,,,false,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,description,,,false,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,biomaterial_id,ref,,true,,genomics_biomaterial,,,,,,,,,TrecodeEMX1
genomics_assay,,,experiment_type_id,ref,,true,,Vocab_SRA_SRA_experiment_type,,,,,,,,,TrecodeEMX1
genomics_assay,,,array_name,,,true,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,assay_position,,,true,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,manifest_id,ref,,true,,fixed_protocol,,,,,,,,,TrecodeEMX1
genomics_assay,,,array_protocol_id,ref,,true,,fixed_protocol,,,,,,,,,TrecodeEMX1
genomics_assay,,,bisulfite_conversion_protocol_id,ref,,true,,fixed_protocol,,,,,,,,,TrecodeEMX1
genomics_assay,,,ffpe_restore_protocol_id,ref,,true,,fixed_protocol,,,,,,,,,TrecodeEMX1
genomics_assay,,,input_quantity,decimal,,false,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,assay_provider_id,ref,,false,,fixed_sequencing_provider,,,,,,,,,TrecodeEMX1
genomics_assay,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_assay,,,library_strategy_id,ref,,true,,Vocab_SRA_SRA_library_strategy,,,,,,,,,TrecodeEMX1
genomics_assay,,,experiment_id,refback,,false,,genomics_experiment,,assay_id,,,,,,,TrecodeEMX1
genomics_biomaterial,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,label,,,true,,,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,biosource_id,ref,,false,,genomics_biosource,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,biomaterial_id,ref,,false,,genomics_biomaterial,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,treatment_id,ref,,false,,genomics_treatment,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,isolation_provider_id,ref,,false,,fixed_sequencing_provider,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,molecule,,,true,,,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,collection,ref,,true,,fixed_collection,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,taxonomy_id,ref,,true,,fixed_taxonomy,,,,,,,,,TrecodeEMX1
genomics_biomaterial,,,assay_id,refback,,false,,genomics_assay,,biomaterial_id,,,,,,,TrecodeEMX1
genomics_biomaterial,,,library_id,refback,,false,,genomics_library,,biomaterial_id,,,,,,,TrecodeEMX1
genomics_biosource,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,label,,,true,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,title,,,true,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,diagnosis_id,ref_array,,false,,genomics_diagnosis,,,,,,,,,TrecodeEMX1
genomics_biosource,,,treatment_id,ref,,false,,genomics_treatment,,,,,,,,,TrecodeEMX1
genomics_biosource,,,storage_conditions,ref,,false,,fixed_storage_conditions,,,,,,,,,TrecodeEMX1
genomics_biosource,,,biosource_id,ref,,false,,genomics_biosource,,,,,,,,,TrecodeEMX1
genomics_biosource,,,biosource_ref,hyperlink,,false,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,biopsy_type,,,false,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,biopsy_dtc,date,,false,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,biopsy_tumor_perc,,,false,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,pdxhost_id,ref,,false,,genomics_pdxhost,,,,,,,,,TrecodeEMX1
genomics_biosource,,,is_normal,bool,,true,,,,,,,,,,,TrecodeEMX1
genomics_biosource,,,biomaterial_id,refback,,false,,genomics_biomaterial,,biosource_id,,,,,,,TrecodeEMX1
genomics_dac,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_dac,,,title,,,true,,,,,,,,,,,TrecodeEMX1
genomics_dac,,,contact_name,,,true,,,,,,,,,,,TrecodeEMX1
genomics_dac,,,email,email,,true,,,,,,,,,,,TrecodeEMX1
genomics_dac,,,organisation,,,true,,,,,,,,,,,TrecodeEMX1
genomics_dac,,,telephone_number,,,true,,,,,,,,,,,TrecodeEMX1
genomics_dataset,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_dataset,,,label,,,true,,,,,,,,,,,TrecodeEMX1
genomics_dataset,,,title,,,true,,,,,,,,,,,TrecodeEMX1
genomics_dataset,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
genomics_dataset,,,policy_id,ref,,false,,genomics_policy,,,,,,,,,TrecodeEMX1
genomics_dataset,,,run_id,ref_array,,false,,genomics_run,,,,,,,,,TrecodeEMX1
genomics_dataset,,,analysis_id,ref_array,,false,,genomics_analysis,,,,,,,,,TrecodeEMX1
genomics_dataset,,,type,ref,,true,,Vocab_SRA_SRA_dataset_type,,,,,,,,,TrecodeEMX1
genomics_dataset,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,label,,,true,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,title,,,false,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,description,text,,false,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,individual_id,ref,,true,,genomics_individual,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,topography,ref,,false,,fixed_topography,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,treatment_id,ref,,false,,genomics_treatment,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,tumor_type,ref,,false,,fixed_tumor_type,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,tumor_stage,,,false,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,diagnosis_date,date,,false,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,age_at_diagnosis,int,,false,,,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,diagnosis_center,ref,,false,,fixed_pathologylab,,,,,,,,,TrecodeEMX1
genomics_diagnosis,,,is_validated,bool,,false,,,,,,,,,,,TrecodeEMX1
genomics_experiment,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_experiment,,,label,,,true,,,,,,,,,,,TrecodeEMX1
genomics_experiment,,,title,,,true,,,,,,,,,,,TrecodeEMX1
genomics_experiment,,,description,text,,true,,,,,,,,,,,TrecodeEMX1
genomics_experiment,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_experiment,,,study_id,ref,,true,,genomics_study,,,,,,,,,TrecodeEMX1
genomics_experiment,,,library_id,ref,,false,,genomics_library,,,,,,,,,TrecodeEMX1
genomics_experiment,,,librarypool_id,ref,,false,,genomics_librarypool,,,,,,,,,TrecodeEMX1
genomics_experiment,,,assay_id,ref,,false,,genomics_assay,,,,,,,,,TrecodeEMX1
genomics_experiment,,,protocol_id,ref,,false,,fixed_protocol,,,,,,,,,TrecodeEMX1
genomics_experiment,,,instrument_model_id,ref,,true,,Vocab_SRA_SRA_instrument_model,,,,,,,,,TrecodeEMX1
genomics_experiment,,,sequencing_provider_id,ref,,true,,fixed_sequencing_provider,,,,,,,,,TrecodeEMX1
genomics_experiment,,,run_id,refback,,false,,genomics_run,,experiment_id,,,,,,,TrecodeEMX1
genomics_file,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_file,,,label,,,true,,,,,,,,,,,TrecodeEMX1
genomics_file,,,description,,,true,,,,,,,,,,,TrecodeEMX1
genomics_file,,,filemeta_id,file,,true,,,,,,,,,,,TrecodeEMX1
genomics_file,,,date,datetime,,true,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,id,,1,true,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,date,datetime,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,biomaterial_id,ref_array,,false,,genomics_biomaterial,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,label,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs3936238_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs4331560_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs7660805_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs7746156_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs9363764_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs1484127_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs472920_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs845016_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs1467387_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs739259_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs10796216_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs966367_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs1019916_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs2959823_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs951295_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs1510189_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs2385226_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs9292570_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs10882854_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs2032088_GRCh38,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs3936238_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs4331560_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs7660805_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs7746156_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs9363764_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs1484127_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs472920_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs845016_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
genomics_genotypeProfileEpic,,,rs1467387_GRCh38_probability,,,false,,,,,,,,,,,TrecodeEMX1
