"id","name","extra_gene","synonyms","url"
"GATA3","GATA binding protein 3","GATA3","2625,ENSG00000107485,GATA3,P23771","https://www.ncbi.nlm.nih.gov/gene/?term=2625"
"GATA2","GATA binding protein 2","GATA2","2624,ENSG00000179348,GATA2,P23769","https://www.ncbi.nlm.nih.gov/gene/?term=2624"
"GATA1","GATA binding protein 1 (globin transcription factor 1)","GATA1","2623,ENSG00000102145,GATA1,GF1,P15976","https://www.ncbi.nlm.nih.gov/gene/?term=2623"
"HIF1A","hypoxia inducible factor 1 alpha subunit","HIF1A","3091,ENSG00000100644,HIF1A,Q16665","https://www.ncbi.nlm.nih.gov/gene/?term=3091"
"GRIN2A","glutamate receptor, ionotropic, N-methyl D-aspartate 2A","GRIN2A","2903,ENSG00000183454,GRIN2A,NMDAR2A,Q12879","https://www.ncbi.nlm.nih.gov/gene/?term=2903"
"RNF213","ring finger protein 213","RNF213","57674,C17orf27,ENSG00000173821,KIAA1618,MYMY2,RNF213","https://www.ncbi.nlm.nih.gov/gene/?term=57674"
"CHST11","carbohydrate sulfotransferase 11","CHST11","50515,CHST11,ENSG00000171310,Q9NPF2","https://www.ncbi.nlm.nih.gov/gene/?term=50515"
"TERT","telomerase reverse transcriptase","TERT","7015,ENSG00000164362,O14746,TERT","https://www.ncbi.nlm.nih.gov/gene/?term=7015"
"NTHL1","nth like DNA glycosylase 1","NTHL1","","https://www.ncbi.nlm.nih.gov/gene/?term=4913"
"RAD21","RAD21 homolog (S. pombe)","RAD21","5885,ENSG00000164754,O60216,RAD21","https://www.ncbi.nlm.nih.gov/gene/?term=5885"
"PRDM16","PR domain containing 16","PRDM16","63976,ENSG00000142611,PRDM16,Q9HAZ2","https://www.ncbi.nlm.nih.gov/gene/?term=63976"
"NKX2-1","NK2 homeobox 1","NKX2-1","7080,BCH,ENSG00000136352,NKX2-1,NKX2A,P43699,TITF1","https://www.ncbi.nlm.nih.gov/gene/?term=7080"
"VTI1A","vesicle transport through interaction with t-SNAREs homolog 1A","VTI1A","143187,ENSG00000151532,Q96AJ9,VTI1A","https://www.ncbi.nlm.nih.gov/gene/?term=143187"
"PLCG1","phospholipase C, gamma 1","PLCG1","5335,ENSG00000124181,P19174,PLC1,PLCG1","https://www.ncbi.nlm.nih.gov/gene/?term=5335"
"BARD1","BRCA1 associated RING domain 1","BARD1","580,BARD1,ENSG00000138376,Q99728","https://www.ncbi.nlm.nih.gov/gene/?term=580"
"CREBBP","CREB binding protein (CBP)","CREBBP","1387,CREBBP,ENSG00000005339,Q92793,RSTS","https://www.ncbi.nlm.nih.gov/gene/?term=1387"
"JUN","jun oncogene","JUN","3725,ENSG00000177606,JUN,P05412","https://www.ncbi.nlm.nih.gov/gene/?term=3725"
"ZNF384","zinc finger protein 384 (CIZ/NMP4)","ZNF384","171017,ENSG00000126746,Q8TF68,TNRC1,ZNF384","https://www.ncbi.nlm.nih.gov/gene/?term=171017"
"H3F3B","H3 histone, family 3B (H3.3B)","H3F3B","3020,ENSG00000132475,H3F3B,P84243","https://www.ncbi.nlm.nih.gov/gene/?term=3021"
"SETD1B","SET domain containing 1B","SETD1B","23067,ENSG00000139718,Q9UPS6,SETD1B","https://www.ncbi.nlm.nih.gov/gene/?term=23067"
"H3F3A","H3 histone, family 3A","H3F3A","3020,ENSG00000163041,H3F3,H3F3A,P84243","https://www.ncbi.nlm.nih.gov/gene/?term=3020"
"NFATC2","nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2","NFATC2","4773,ENSG00000101096,NFATC2,Q13469","https://www.ncbi.nlm.nih.gov/gene/?term=4773"
"BRAF","v-raf murine sarcoma viral oncogene homolog B1","BRAF","673,BRAF,ENSG00000157764,P15056","https://www.ncbi.nlm.nih.gov/gene/?term=673"
"A1CF","APOBEC1 complementation factor","A1CF","29974,A1CF,ENSG00000148584,Q9NQ94","https://www.ncbi.nlm.nih.gov/gene/?term=29974"
"FLI1","Friend leukemia virus integration 1","FLI1","2313,ENSG00000151702,FLI1,Q01543","https://www.ncbi.nlm.nih.gov/gene/?term=2313"
"PBX1","pre-B-cell leukemia transcription factor 1","PBX1","5087,ENSG00000185630,P40424,PBX1","https://www.ncbi.nlm.nih.gov/gene/?term=5087"
"ISX","intestine specific homeobox","ISX","91464,ENSG00000175329,ISX,Q2M1V0","https://www.ncbi.nlm.nih.gov/gene/?term=91464"
"COL1A1","collagen, type I, alpha 1","COL1A1","1277,COL1A1,ENSG00000108821,P02452","https://www.ncbi.nlm.nih.gov/gene/?term=1277"
"MLLT11","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","MLLT11","",""
"CYLD","familial cylindromatosis gene","CYLD","1540,CYLD,CYLD1,ENSG00000083799,Q9NQC7","https://www.ncbi.nlm.nih.gov/gene/?term=1540"
"MLLT10","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","MLLT10","",""
"CYP2C8","cytochrome P450 family 2 subfamily C member 8","CYP2C8","1558,CPC8,CYP2C8,ENSG00000138115,P450 MP-12/MP-20,P450MP-12/MP-20","https://www.ncbi.nlm.nih.gov/gene/?term=1558"
"FAM135B","family with sequence similarity 135 member B","FAM135B","51059,ENSG00000147724,FAM135B,Q49AJ0","https://www.ncbi.nlm.nih.gov/gene/?term=51059"
"PPFIBP1","PTPRF interacting protein, binding protein 1 (liprin beta 1)","PPFIBP1","8496,ENSG00000110841,PPFIBP1,Q86W92","https://www.ncbi.nlm.nih.gov/gene/?term=8496"
"KIAA1598","KIAA1598","KIAA1598","57698,A0MZ66,ENSG00000187164,KIAA1598","https://www.ncbi.nlm.nih.gov/gene/?term=57698"
"FAT1","FAT atypical cadherin 1","FAT1","2195,ENSG00000083857,FAT,FAT1,Q14517","https://www.ncbi.nlm.nih.gov/gene/?term=2195"
"REL","v-rel reticuloendotheliosis viral oncogene homolog (avian)","REL","5966,ENSG00000162924,Q04864,REL","https://www.ncbi.nlm.nih.gov/gene/?term=5966"
"RAD17","RAD17 checkpoint clamp loader component","RAD17","","https://www.ncbi.nlm.nih.gov/gene/?term=5884"
"FAT3","FAT atypical cadherin 3","FAT3","120114,ENSG00000165323,FAT3,Q8TDW7","https://www.ncbi.nlm.nih.gov/gene/?term=120114"
"STRN","striatin, calmodulin binding protein","STRN","6801,ENSG00000115808,O43815,STRN","https://www.ncbi.nlm.nih.gov/gene/?term=6801"
"CDK12","cyclin-dependent kinase 12","CDK12","51755,CDK12,CRKRS,ENSG00000167258,Q9NYV4","https://www.ncbi.nlm.nih.gov/gene/?term=51755"
"FAT4","FAT atypical cadherin 4","FAT4","79633,ENSG00000196159,FAT4","https://www.ncbi.nlm.nih.gov/gene/?term=79633"
"CPEB3","cytoplasmic polyadenylation element binding protein 3","CPEB3","22849,CPEB3,ENSG00000107864,Q8NE35","https://www.ncbi.nlm.nih.gov/gene/?term=22849"
"CEP89","centrosomal protein 89kDa","CEP89","84902,CCDC123,CEP89,ENSG00000121289,Q96ST8","https://www.ncbi.nlm.nih.gov/gene/?term=84902"
"EZH2","enhancer of zeste homolog 2","EZH2","2146,ENSG00000106462,EZH2,Q15910","https://www.ncbi.nlm.nih.gov/gene/?term=2146"
"RET","ret proto-oncogene","RET","5979,ENSG00000165731,HSCR1,MEN2A,MEN2B,MTC1,P07949,RET","https://www.ncbi.nlm.nih.gov/gene/?term=5979"
"ITK","IL2-inducible T-cell kinase","ITK","3702,ENSG00000113263,ITK,Q08881","https://www.ncbi.nlm.nih.gov/gene/?term=3702"
"CDKN1A","cyclin dependent kinase inhibitor 1A","CDKN1A","1026,CDKN1,CDKN1A,ENSG00000124762,P38936","https://www.ncbi.nlm.nih.gov/gene/?term=1026"
"SETD2","SET domain containing 2","SETD2","29072,ENSG00000181555,SETD2","https://www.ncbi.nlm.nih.gov/gene/?term=29072"
"BTG1","B-cell translocation gene 1, anti-proliferative","BTG1","694,BTG1,ENSG00000133639,P62324","https://www.ncbi.nlm.nih.gov/gene/?term=694"
"CDKN1B","cyclin-dependent kinase inhibitor 1B (p27, Kip1)","CDKN1B","1027,CDKN1B,ENSG00000111276,P46527","https://www.ncbi.nlm.nih.gov/gene/?term=1027"
"ELL","ELL gene (11-19 lysine-rich leukemia gene)","ELL","8178,C19orf17,ELL,ENSG00000105656,P55199","https://www.ncbi.nlm.nih.gov/gene/?term=8178"
"ELN","elastin","ELN","2006,ELN,ENSG00000049540,P15502","https://www.ncbi.nlm.nih.gov/gene/?term=2006"
"CLTC","clathrin, heavy polypeptide (Hc)","CLTC","1213,CLTC,CLTCL2,ENSG00000141367,Q00610","https://www.ncbi.nlm.nih.gov/gene/?term=1213"
"CTCF","CCCTC-binding factor","CTCF","10664,CTCF,ENSG00000102974,P49711","https://www.ncbi.nlm.nih.gov/gene/?term=10664"
"HOXC13","homeo box C13","HOXC13","3229,ENSG00000123364,HOX3,HOX3G,HOXC13,P31276","https://www.ncbi.nlm.nih.gov/gene/?term=3229"
"ARHGAP5","Rho GTPase activating protein 5","ARHGAP5","394,ARHGAP5,ENSG00000100852,GFI2,Q13017","https://www.ncbi.nlm.nih.gov/gene/?term=394"
"GLI1","GLI family zinc finger 1","GLI1","2735,ENSG00000111087,GLI,GLI1,P08151","https://www.ncbi.nlm.nih.gov/gene/?term=2735"
"HOXC11","homeo box C11","HOXC11","3227,ENSG00000123388,HOX3H,HOXC11,O43248","https://www.ncbi.nlm.nih.gov/gene/?term=3227"
"PHF6","PHD finger protein 6","PHF6","84295,BFLS,BORJ,ENSG00000156531,PHF6,Q8IWS0","https://www.ncbi.nlm.nih.gov/gene/?term=84295"
"IKBKB","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta","IKBKB","3551,ENSG00000104365,IKBKB,O14920","https://www.ncbi.nlm.nih.gov/gene/?term=3551"
"MED12","mediator complex subunit 12","MED12","9968,ENSG00000184634,FGS1,MED12,Q93074,TNRC11","https://www.ncbi.nlm.nih.gov/gene/?term=9968"
"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ATIC","471,ATIC,ENSG00000138363,P31939","https://www.ncbi.nlm.nih.gov/gene/?term=471"
"HEY1","hairy/enhancer-of-split related with YRPW motif 1","HEY1","23462,ENSG00000164683,HEY1,Q9Y5J3","https://www.ncbi.nlm.nih.gov/gene/?term=23462"
"MECOM","MDS1 and EVI1 complex locus","MECOM","2122,ENSG00000085276,EVI1,MDS1,MECOM,Q03112","https://www.ncbi.nlm.nih.gov/gene/?term=2122"
"RSPO2","R-spondin 2","RSPO2","340419,ENSG00000147655,Q6UXX9,RSPO2","https://www.ncbi.nlm.nih.gov/gene/?term=340419"
"RSPO3","R-spondin 3","RSPO3","84870,ENSG00000146374,Q9BXY4,RSPO3,THSD2","https://www.ncbi.nlm.nih.gov/gene/?term=84870"
"CIC","capicua homolog","CIC","23152,CIC,ENSG00000079432","https://www.ncbi.nlm.nih.gov/gene/?term=23152"
"JAK2","Janus kinase 2","JAK2","3717,ENSG00000096968,JAK2,O60674","https://www.ncbi.nlm.nih.gov/gene/?term=3717"
"JAK3","Janus kinase 3","JAK3","3718,ENSG00000105639,JAK3,P52333","https://www.ncbi.nlm.nih.gov/gene/?term=3718"
"JAK1","Janus kinase 1","JAK1","3716,ENSG00000162434,JAK1,JAK1B,P23458","https://www.ncbi.nlm.nih.gov/gene/?term=3716"
"BRD3","bromodomain containing 3","BRD3","8019,BRD3,ENSG00000169925,Q15059","https://www.ncbi.nlm.nih.gov/gene/?term=8019"
"SS18","synovial sarcoma translocation, chromosome 18","SS18","6760,ENSG00000141380,Q15532,SS18,SSXT","https://www.ncbi.nlm.nih.gov/gene/?term=6760"
"RMI2","RecQ mediated genome instability 2","RMI2","116028,C16orf75,ENSG00000175643,Q96E14,RMI2","https://www.ncbi.nlm.nih.gov/gene/?term=116028"
"FCRL4","Fc receptor-like 4","FCRL4","83417,ENSG00000163518,FCRL4,Q96PJ5","https://www.ncbi.nlm.nih.gov/gene/?term=83417"
"TCF12","transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)","TCF12","6938,ENSG00000140262,Q99081,TCF12","https://www.ncbi.nlm.nih.gov/gene/?term=6938"
"TET2","tet oncogene family member 2","TET2","54790,ENSG00000168769,KIAA1546,Q6N021,TET2","https://www.ncbi.nlm.nih.gov/gene/?term=54790"
"PAX3","paired box gene 3","PAX3","","https://www.ncbi.nlm.nih.gov/gene/?term=5077"
"TET1","tet methylcytosine dioxygenase 1","TET1","80312,CXXC6,ENSG00000138336,Q8NFU7,TET1","https://www.ncbi.nlm.nih.gov/gene/?term=80312"
"BAZ1A","bromodomain adjacent to zinc finger domain 1A","BAZ1A","11177,BAZ1A,ENSG00000198604,Q9NRL2","https://www.ncbi.nlm.nih.gov/gene/?term=11177"
"PAX5","paired box gene 5 (B-cell lineage specific activator protein)","PAX5","5079,ENSG00000196092,PAX5,Q02548","https://www.ncbi.nlm.nih.gov/gene/?term=5079"
"POU5F1","POU domain, class 5, transcription factor 1","POU5F1","5460,ENSG00000204531,OTF3,POU5F1,Q01860","https://www.ncbi.nlm.nih.gov/gene/?term=5460"
"DDB2","damage-specific DNA binding protein 2","DDB2","1643,DDB2,ENSG00000134574,Q92466","https://www.ncbi.nlm.nih.gov/gene/?term=1643"
"NCOR2","nuclear receptor corepressor 2","NCOR2","9612,ENSG00000196498,NCOR2,Q9Y618","https://www.ncbi.nlm.nih.gov/gene/?term=9612"
"COL2A1","collagen, type II, alpha 1","COL2A1","1280,AOM,COL2A1,ENSG00000139219,P02458,SEDC","https://www.ncbi.nlm.nih.gov/gene/?term=1280"
"NCOR1","nuclear receptor corepressor 1","NCOR1","9611,ENSG00000141027,NCOR1,O75376","https://www.ncbi.nlm.nih.gov/gene/?term=9611"
"ZEB1","zinc finger E-box binding homeobox 1","ZEB1","6935,ENSG00000148516,P37275,PPCD3,TCF8,ZEB1","https://www.ncbi.nlm.nih.gov/gene/?term=6935"
"PAX8","paired box gene 8","PAX8","7849,ENSG00000125618,PAX8,Q06710","https://www.ncbi.nlm.nih.gov/gene/?term=7849"
"SDHAF2","succinate dehydrogenase complex assembly factor 2","SDHAF2","54949,C11orf79,ENSG00000167985,PGL2,Q9NX18,SDHAF2","https://www.ncbi.nlm.nih.gov/gene/?term=54949"
"TAL2","T-cell acute lymphocytic leukemia 2","TAL2","","https://www.ncbi.nlm.nih.gov/gene/?term=6887"
"PAX7","paired box gene 7","PAX7","5081,ENSG00000009709,P23759,PAX7","https://www.ncbi.nlm.nih.gov/gene/?term=5081"
"TAL1","T-cell acute lymphocytic leukemia 1 (SCL)","TAL1","6886,ENSG00000162367,P17542,TAL1,TCL5","https://www.ncbi.nlm.nih.gov/gene/?term=6886"
"RARA","retinoic acid receptor, alpha","RARA","5914,ENSG00000131759,P10276,RARA","https://www.ncbi.nlm.nih.gov/gene/?term=5914"
"POT1","protection of telomeres 1","POT1","25913,ENSG00000128513,POT1,Q9NUX5","https://www.ncbi.nlm.nih.gov/gene/?term=25913"
"PPARG","peroxisome proliferative activated receptor, gamma","PPARG","","https://www.ncbi.nlm.nih.gov/gene/?term=5468"
"ZNF479","zinc finger protein 479","ZNF479","90827,ENSG00000185177,Q96JC4,ZNF479","https://www.ncbi.nlm.nih.gov/gene/?term=90827"
"PAFAH1B2","platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa","PAFAH1B2","5049,ENSG00000168092,P68402,PAFAH1B2","https://www.ncbi.nlm.nih.gov/gene/?term=5049"
"GAS7","growth arrest-specific 7","GAS7","8522,ENSG00000007237,GAS7,O60861","https://www.ncbi.nlm.nih.gov/gene/?term=8522"
"FH","fumarate hydratase","FH","2271,ENSG00000091483,FH,P07954","https://www.ncbi.nlm.nih.gov/gene/?term=2271"
"RPL10","ribosomal protein L10","RPL10","6134,ENSG00000147403,P27635,RPL10","https://www.ncbi.nlm.nih.gov/gene/?term=6134"
"DCAF12L2","DDB1 and CUL4 associated factor 12 like 2","DCAF12L2","340578,DCAF12L2,ENSG00000198354,Q5VW00,WDR40C","https://www.ncbi.nlm.nih.gov/gene/?term=340578"
"HOXD13","homeo box D13","HOXD13","3239,HOX4I,HOXD13,P35453,SPD","https://www.ncbi.nlm.nih.gov/gene/?term=3239"
"HOXD11","homeo box D11","HOXD11","3237,ENSG00000128713,HOX4,HOX4F,HOXD11,P31277","https://www.ncbi.nlm.nih.gov/gene/?term=3237"
"RUNDC2A","RUN domain containing 2A","RUNDC2A","84127,ENSG00000140660,FLJ12363,Q9HA26,RUNDC2A","https://www.ncbi.nlm.nih.gov/gene/?term=92017"
"EGFR","epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)","EGFR","1956,EGFR,ENSG00000146648,ERBB,P00533","https://www.ncbi.nlm.nih.gov/gene/?term=1956"
"FSTL3","follistatin-like 3 (secreted glycoprotein)","FSTL3","10272,ENSG00000070404,FSTL3,O95633","https://www.ncbi.nlm.nih.gov/gene/?term=10272"
"RECQL4","RecQ protein-like 4","RECQL4","9401,ENSG00000160957,RECQ4,RECQL4,RTS,RecQ4","https://www.ncbi.nlm.nih.gov/gene/?term=9401"
"BCLAF1","BCL2 associated transcription factor 1","BCLAF1","9774,BCLAF1,ENSG00000029363,Q9NYF8","https://www.ncbi.nlm.nih.gov/gene/?term=9774"
"NRAS","neuroblastoma RAS viral (v-ras) oncogene homolog","NRAS","4893,ENSG00000213281,NRAS,P01111","https://www.ncbi.nlm.nih.gov/gene/?term=4893"
"WRN","Werner syndrome (RECQL2)","WRN","7486,ENSG00000165392,Q14191,WRN","https://www.ncbi.nlm.nih.gov/gene/?term=7486"
"NSD1","nuclear receptor binding SET domain protein 1","NSD1","64324,ENSG00000165671,NSD1,Q96L73,STO","https://www.ncbi.nlm.nih.gov/gene/?term=64324"
"SPOP","speckle type POZ protein","SPOP","8405,ENSG00000121067,O43791,SPOP","https://www.ncbi.nlm.nih.gov/gene/?term=8405"
"FLNA","filamin A","FLNA","2316,ENSG00000196924,FLN,FLN1,FLNA,OPD1,OPD2,P21333","https://www.ncbi.nlm.nih.gov/gene/?term=2316"
"PMS2","PMS2 postmeiotic segregation increased 2 (S. cerevisiae)","PMS2","5395,ENSG00000122512,P54278,PMS2,PMSL2","https://www.ncbi.nlm.nih.gov/gene/?term=5395"
"STAT6","signal transducer and activator of transcription 6, interleukin-4 induced","STAT6","6778,ENSG00000166888,P42226,STAT6","https://www.ncbi.nlm.nih.gov/gene/?term=6778"
"CSMD3","CUB and Sushi multiple domains 3","CSMD3","114788,CSMD3,ENSG00000164796,Q7Z407","https://www.ncbi.nlm.nih.gov/gene/?term=114788"
"SF3B1","splicing factor 3b, subunit 1, 155kDa","SF3B1","23451,ENSG00000115524,O75533,SF3B1","https://www.ncbi.nlm.nih.gov/gene/?term=23451"
"PMS1","PMS1 postmeiotic segregation increased 1 (S. cerevisiae)","PMS1","5378,ENSG00000064933,P54277,PMS1,PMSL1","https://www.ncbi.nlm.nih.gov/gene/?term=5378"
"BRD4","bromodomain containing 4","BRD4","23476,BRD4,ENSG00000141867,O60885","https://www.ncbi.nlm.nih.gov/gene/?term=23476"
"RUNX1T1","runt-related transcription factor 1","RUNX1T1","",""
"CDKN2C","cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)","CDKN2C","1031,CDKN2C,ENSG00000123080,P42773","https://www.ncbi.nlm.nih.gov/gene/?term=1031"
"CDKN2A","cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene","CDKN2A","1029,CDKN2,CDKN2A,ENSG00000147889,MLM,P42771","https://www.ncbi.nlm.nih.gov/gene/?term=1029"
"MGMT","O-6-methylguanine-DNA methyltransferase","MGMT","4255,ENSG00000170430,MGMT,P16455","https://www.ncbi.nlm.nih.gov/gene/?term=4255"
