"id","genome","chrband","tumorGermline","tumorSomatic","syndrome","tissueType"
"BCL10","1:85267627-85276352","1p22","MALT","","","L"
"GATA3","10:8055656-8074023","10p15","breast","","","E"
"GATA2","3:128481019-128487031","3q21.3","AML (CML blast transformation)","","","L"
"GATA1","X:48791110-48794164","Xp11.23","megakaryoblastic leukaemia of Downs syndrome","","","L"
"HIF1A","14:61695805-61747085","14q23.2","endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic","","","E,O"
"2005-09-01T00:00","22:19714590-19722485","22q11.21","AML","","","L"
"2006-09-01T00:00","X:119618762-119693105","Xq24","AML","","","L"
"GRIN2A","16:9763149-10180411","16p13.2","melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma","","","E"
"RNF213","17:80340149-80393498","17q25.3","ALCL","","","L"
"CHST11","12:104457412-104757803","12q23.3","B-CLL","","","L"
"TERT","5:1253728-1294989","5p15.33","melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types","melanoma","","E,O"
"NTHL1","16:2093568-2097848","16p13.3","CRC","","Familial adenomatous polyposis","E"
"RAD21","8:116847500-116866729","8q24.11","AML, endometrium, colorectal, lung","","","L,E"
"PRDM16","1:3069260-3433811","1p36.23-p33","MDS, AML","","","L"
"NKX2-1","14:36517278-36519357","14q13","NSCLC","","","E"
"VTI1A","10:112447374-112815383","10q25.2","colorectal","","","E"
"2009-09-01T00:00","17:77320327-77498658","17q25","AML*","","","L"
"PLCG1","20:41137642-41174509","20q12-q13.1","angiosarcoma","","","E"
"BARD1","2:214728676-214809569","2q35","breast cancer","ovarian cancer, breast cancer, endometrioid cancer","","E"
"CREBBP","16:3727718-3879916","16p13.3","ALL, AML, DLBCL, B-NHL","","","L"
"JUN","1:58782075-58783070","1p32-p31","sarcoma","","","M"
"ZNF384","12:6667714-6679520","12p13","ALL","","","L"
"H3F3B","17:75778595-75779174","17q25.1","chondroblastoma","","","M"
"SETD1B","12:121819473-121830240","12q24.31","CRC, endometrium","","","E"
"H3F3A","1:226064352-226071479","1q42.12","glioma","","","O"
"NFATC2","20:51391396-51542499","20q13.2","Ewing sarcoma","","","M"
"BRAF","7:140734597-140924703","7q34","melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric","","","E,O"
"A1CF","10:50806729-50859940","10q11.23","melanoma","","","E"
"FLI1","11:128694259-128810988","11q24","Ewing sarcoma","","","M"
"PBX1","1:164559824-164846677","1q23","pre B-ALL, myoepithelioma","","","L,M"
"ISX","22:35067088-35085693","22q12.3","melanoma","","","E"
"COL1A1","17:50185502-50201513","17q21.31-q22","DFSP, aneurysmal bone cyst","","","M"
"MLLT11","","","","","",""
"CYLD","16:50749699-50796508","16q12-q13","cylindroma","cylindroma","familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome","E"
"MLLT10","","","","","",""
"CYP2C8","10:95037128-95069402","10q23.33","melanoma","","","E"
"FAM135B","8:138132593-138367983","8q24.23","SCLC","","","E"
"PPFIBP1","12:27633397-27692882","12p12.1","Spitzoid tumour, inflammatory myofibroblastic tumour","","","E,M"
"KIAA1598","10:116886555-117005079","10q25.3","Spitzoid tumour","","","E"
"FAT1","4:186588592-186709827","4q35.2","oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma","pancreatic","","E,L"
"REL","2:60881841-60922535","2p13-p12","Hodgkin lymphoma","","","L"
"RAD17","5:68677728-68677884","5q13.2","lymphoma, colon cancer","","","E,L"
"FAT3","11:92837714-92891113","11q14.3","SCC, colon adenocarcinoma, gastric adenocarcinoma","","","E"
"STRN","2:36849456-36966463","2p22.2","anaplastic thyroid, papillary thyroid, lung","","","E"
"CDK12","17:39462072-39531316","17q12","serous ovarian","","","E"
"FAT4","4:125316412-125491768","4q28.1","lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma","","","E,L"
"CPEB3","10:92052212-92240350","10q23.32","lung cancer","","","E"
"CEP89","19:32879162-32971874","19q13.11","Spitzoid tumour","","","E"
"EZH2","7:148807646-148847298","7q35-q36","DLBCL","","","L"
"RET","10:43077259-43128269","10q11.2","medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour","medullary thyroid,  papillary thyroid, pheochromocytoma","multiple endocrine neoplasia 2A/2B","E,O"
"ITK","5:157180978-157252678","5q31-q32","peripheral T-cell lymphoma","","","L"
"CDKN1A","6:36684102-36685800","6p21.2","bladder cancer","","","E"
"SETD2","3:47017093-47123126","3p21.31","clear cell renal carcinoma","","","E"
"BTG1","12:92144080-92145535","12q22","B-CLL","","","L"
"CDKN1B","12:12717840-12718946","12p13.1-p12","breast, small intestine neuroendocrine tumours","pituitary, parathyroid","multiple endocrine neoplasia type IV","E"
"ELL","19:18444752-18522055","19p13.1","AL","","","L"
"ELN","7:74028188-74068700","7q11.23","B-ALL","","","L"
"CLTC","17:59620133-59693853","17q11-qter","ALCL, renal","","","L"
"CTCF","16:67610833-67637872","16q22.1","endometrial, breast, head and neck cancer","","","E"
"HOXC13","12:53938908-53945257","12q13.3","AML","","","L"
"ARHGAP5","14:32090670-32154948","14q12","colon cancer, glioma","","","E,O"
"GLI1","12:57463692-57472061","12q13.3","CRC, oesophagus cancer","","","E"
"HOXC11","12:53973243-53975414","12q13.3","AML","","","L"
"PHF6","X:134377618-134425330","Xq26.3","ETP ALL","","","L"
"IKBKB","8:42272100-42330979","8p11.2","SMZL","","","L"
"MED12","X:71118755-71142218","Xq13","uterine leiomyoma, fibroadenoma, phyllodes tumour","","","M,E"
"ATIC","2:215312144-215349656","2q35","ALCL","","","L"
"HEY1","8:79765188-79767663","8q21","mesenchymal chondrosarcoma","","","M"
"MECOM","3:169084909-169131477","3q26.2","AML, CML, MDS","","","L"
"RSPO2","8:107901075-108082638","8q23.1","colorectal","","","E"
"RSPO3","6:127119193-127196007","6q22.33","colorectal","","","E"
"CIC","19:42284705-42295191","19q13.2","oligodendroglioma, soft tissue sarcoma","","","O,M"
"JAK2","9:5021988-5126791","9p24","ALL, AML, MPN,  CML","","","L"
"JAK3","19:17826743-17844417","19p13.1","acute megakaryocytic leukaemia, ETP ALL","","","L"
"JAK1","1:64834562-64886264","1p32.3-p31.3","ALL","","","L"
"BRD3","9:134033590-134053477","9q34","lethal midline carcinoma of young people","","","E"
"SS18","18:26018354-26090569","18q11.2","synovial sarcoma","","","M"
"RMI2","16:11345472-11350790","16p13.13","PMBL, Hodgkin lymphoma","","","L"
"FCRL4","1:157575524-157597944","1q21","B-NHL","","","L"
"TCF12","15:56919914-57288514","15q21","extraskeletal myxoid chondrosarcoma","","","M"
"TET2","4:105233943-105276519","4q24","MDS","","","L"
"PAX3","2:222201174-222298615","2q35","alveolar rhabdomyosarcoma","","","M"
"TET1","10:68572340-68691815","10q21","AML","","","L"
"BAZ1A","14:34753508-34874604","14q13.1-q13.2","uterine carcinosarcoma, colon cancer","","","E"
"PAX5","9:36840560-37034031","9p13","NHL, ALL, B-ALL","","","L"
"POU5F1","6:31164601-31170620","6p21.31","sarcoma","","","M"
"DDB2","11:47215137-47238849","11p12","","skin basal cell, skin squamous cell, melanoma","xeroderma pigmentosum (E)","E"
"NCOR2","12:124325402-124495251","12q24","prostate","","","E"
"COL2A1","12:47973407-48004321","12q13.11","chondrosarcoma, enchondroma","","","L,E,M"
"NCOR1","17:16032296-16194569","17p11.2","breast","","","E"
"ZEB1","10:31319235-31527264","10p11.22","CCRCC, melanoma","","","E"
"PAX8","2:113218533-113278394","2q12-q14","follicular thyroid","","","E"
"SDHAF2","11:61430147-61446071","11q12.2","","paraganglioma","familial paraganglioma","M"
"TAL2","9:108424779-108425393","9q31","T-ALL","","","L"
"PAX7","1:18631604-18736039","1p36.2-p36.12","alveolar rhabdomyosarcoma","","","M"
"TAL1","1:47219720-47225888","1p32","lymphoblastic leukaemia/biphasic","","","L"
"RARA","17:40331219-40356226","17q12","APL","","","L"
"POT1","7:124823962-124897173","7q31.33","CLL","","","L"
"PPARG","3:12351593-12434145","3p25","follicular thyroid","","","E"
"ZNF479","7:57119840-57132324","7p11.2","lung cancer, bladder carcinoma, prostate carcinoma","","","E"
"PAFAH1B2","11:117152449-117167700","11q23","MLCLS","","","L"
"GAS7","17:9917228-10198390","17p","AML*","","","L"
"FH","1:241497828-241519722","1q42.1","","leiomyomatosis, renal","hereditary leiomyomatosis and renal cell cancer","E,M"
"RPL10","X:154398520-154400854","Xq28","T-ALL","","","L"
"DCAF12L2","X:126164533-126165924","Xq25","CRC","","","E"
"HOXD13","2:176092916-176094731","2q31-q32","AML*","","","L"
"HOXD11","2:176107357-176109143","2q31-q32","AML","","","L"
"RUNDC2A","16:11976807-12052226","16p13.13","PMBL, Hodgkin lymphoma","","","L"
"EGFR","7:55019278-55205617","7p12.3-p12.1","glioma, NSCLC","NSCLC","familial lung cancer","E,O"
"FSTL3","19:676425-681709","19p13","B-CLL","","","L"
"RECQL4","8:144511431-144517784","8q24.3","","osteosarcoma, skin basal cell, skin sqamous cell","Rothmund-Thompson syndrome","M"
"BCLAF1","6:136261259-136279866","6q23.3","melanoma, SCC","","","E"
"NRAS","1:114708535-114716160","1p13.2","melanoma, MM, AML, thyroid","","","L,E"
"WRN","8:31058448-31173102","8p12-p11.2","","osteosarcoma, meningioma, other tumour types","Werner syndrome","L,E,M,O"
"NSD1","5:177135104-177295459","5q35","AML","","","L"
"SPOP","17:49600378-49622810","17q21.33","prostate, endometrial","prostate cancer","","E"
"FLNA","X:154348849-154371245","Xq28","phyllodes tumour of the breast","","","E"
"PMS2","7:5973399-6009019","7p22","","colorectal, endometrial, ovarian, medulloblastoma, glioma","hereditary non-polyposis colorectal cancer, Turcot syndrome","E"
"STAT6","12:57096572-57108278","12q13","solitary fibrous tumour, meningeal haemangiopericytoma","","","M,O"
"CSMD3","8:112224771-113436854","8q23.3","ovarian cancer, oral SCC, lung cancer","","","E"
"SF3B1","2:197392303-197434999","2q33.1","myelodysplastic syndrome","","","L"
"PMS1","2:189791810-189877436","2q31-q33","","colorectal, endometrial, ovarian","hereditary non-polyposis colorectal cancer","E"
"BRD4","19:15249280-15273099","19p13.1","lethal midline carcinoma of young people","","","E"
"RUNX1T1","","","","","",""
"CDKN2C","1:50970369-50974270","1p32","glioma, MM","","","O,L"
"CDKN2A","9:21968229-21974827","9p21","melanoma, multiple other tumour types","melanoma, pancreatic","familial malignant melanoma","L,E,M,O"
"MGMT","10:129536253-129766997","10q26.3","glioma","","","O"
"STAT3","17:42315745-42348516","17q21.31","T-cell large granular lymphocytic leukaemia","paediatric large granular lymphocytic leukaemia","","L"
"KTN1","14:55612050-55680691","14q22.1","papillary thyroid","","","E"
"SKI","1:2228767-2306765","1p36.33-p36.32","melanoma","","","E"
"FOXR1","11:118971932-118981236","11q23.3","neuroblastoma","","","O"
"COL3A1","2:188974490-189011774","2q32.2","lipoblastoma","","","E"
"NFIB","9:14088309-14313511","9p24.1","adenoid cystic carcinoma, lipoma","","","E"
"WT1","11:32389058-32435141","11p13","Wilms tumour, desmoplastic small round cell tumour","Wilms tumour","Denys-Drash syndrome, Frasier syndrome, familial Wilms tumour","O"
"ETNK1","12:22625164-22684954","12p12.1","aCML, CMML, SM-AHD, HES","","","L"
"RFWD3","16:74623928-74661449","16q23.1","lung cancer","","Fanconi anemia W","E"
"ABI1","10:26748570-26860863","10p11.2","AML","","","L"
"CCDC6","10:59792917-59906424","10q21","papillary thyroid, CML, NSCLC","","","E"
"GOPC","6:117563254-117602288","6q21","glioblastoma, cholangiocarcinoma, borderline ovarian","","","E,O"
"CRLF2","X,Y:1196780-1212634","Xp22.3","","","",""
"ZNF331","19:53569378-53577953","19q13.3-q13.4","follicular thyroid adenoma","","","E"
"CSF3R","1:36466357-36479496","1p35-p34.4","aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS","","","L"
"CTNND2","5:10973453-11903853","5p15.2","prostae adenocarcinoma, GIST","","","E"
"CTNND1","11:57791479-57816308","11q12.1","large intestine carcinoma","","","E"
"NAB2","12:57089272-57094721","12q13.3","solitary fibrous tumour, meningeal haemangiopericytoma","","","M,O"
"IRS4","X:108732571-108736344","Xq22.3","glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL","","","E,O,M,L"
"TNC","9:115021157-115091018","9q33.1","SCC, melanoma","","","E"
"CASC5","15:40602933-40654977","15q14","AML","","","L"
"MSI2","17:57257049-57631832","17q23.2","CML","","","L"
"STK11","19:1206914-1226647","19p13.3","NSCLC, pancreatic","jejunal hamartoma, ovarian, testicular, pancreatic","Peutz-Jeghers syndrome","E,M,O"
"CYSLTR2","13:48706818-48707858","13q14.2","uveal melanoma","","","E"
"CDH1","16:68737416-68833499","16q22.1","lobular breast, gastric","gastric","familial gastric carcinoma","E"
"SALL4","20:51784265-51802408","20q13.2","colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma","","","E"
"PIM1","6:37170576-37174091","6p21.2","NHL","","","L"
"SSX4","X:48391869-48411372","Xp11.23","synovial sarcoma","","","M"
"NBN","8:89935582-89984561","8q21","","NHL, glioma, medulloblastoma, rhabdomyosarcoma","Nijmegen breakage syndrome","L,E,M,O"
"MB21D2","3:192798386-192917840","3q29","lung cancer","","","E"
"SSX2","X:52752681-52789480","Xp11.23-p11.22","synovial sarcoma","","","M"
"ROS1","6:117288492-117425656","6q22","glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian","","","O,E"
"WHSC1L1","8:38317956-38348171","8p12","AML","","","L"
"MEN1","11:64804334-64810109","11q13","parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid","multiple endocrine neoplasia type 1","E"
"SSX1","X:48257242-48266387","Xp11.23-p11.22","synovial sarcoma","","","M"
"NUTM2A","10:87358266-87367372","10q23.2","endometrial stromal sarcoma","","","M"
"MAP2K4","17:12020887-12141260","17p11.2","pancreatic, breast, colorectal","","","E"
"RNF43","17:58354943-58415577","17q23.2","cholangiocarcinoma, ovary, pancreas","","","E"
"USP8","15:50439074-50499088","15q21.1","corticotroph adenoma","","","E"
"MAP2K1","15:66387348-66490615","15q22.1-q22.33","NSCLC, melanoma, colorectal","","","E"
"MAP2K2","19:4090598-4123875","19p13.3","NSCLC, melanoma","","","E"
"USP6","17:5130368-5148597","17p13","aneurysmal bone cyst","","","M"
"TPM4","19:16076567-16101347","19p13.1","ALCL","","","L"
"EIF1AX","X:20128306-20141640","Xp22.12","uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer","","","E"
"FBXW7","4:152322881-152411803","4q31.3","colorectal, endometrial, T-ALL","","","E,L"
"TPM3","1:154157639-154183119","1q22-q23","papillary thyroid, ALCL, NSCLC, Spitzoid tumour","","","E,L"
"MITF","3:69936723-69965248","3p14.1","melanoma","","","E"
"LARP4B","10:812926-885721","10p15.3","CRC, glioma","","","E,O"
"FBXO11","2:47808118-47839749","2p16.3","DLBCL","","","L"
"FOXP1","3:70959247-71198381","3p14.1","ALL","","","L"
"MSH6","2:47783234-47806860","2p16","colorectal","colorectal, endometrial, ovarian","hereditary non-polyposis colorectal cancer","E"
"CLIP1","12:122272875-122380452","12q24.3","Spitzoid tumour","","","E"
"MAF","16:79594460-79599902","16q22-q23","MM","","","L"
"MSH2","2:47403192-47482949","2p22-p21","colorectal, endometrial, ovarian","colorectal, endometrial, ovarian","hereditary non-polyposis colorectal cancer","E"
"SMO","7:129189152-129212451","7q31-q32","skin basal cell","","","E"
"KAT6B","10:74842858-75031046","10q22.2","AML, leiomyoma","","","L,M"
"KAT6A","-0.3333333333333333","8p11","AML","","","L"
"SRSF2","17:76736161-76737160","17q25","MDS, CLL","","","L"
"SRSF3","6:36596763-36601989","6p21","follicular lymphoma","","","L"
"MALAT1","","","","","",""
"ERG","21:38383403-38575700","21q22.3","Ewing sarcoma, prostate, AML","","","M,E,L"
"FKBP9","7:32957574-33005351","7p14.3","glioma","","","O"
"IL6ST","5:55941082-55976278","5q11","hepatocellular carcinoma","","","E"
"NUTM2B","10:79703610-79712485","10q22.3","endometrial stromal sarcoma","","","M"
"S100A7","1:153457806-153459013","1q21.3","melanoma, T-cell lymphoma","","","E,L"
"NOTCH2","1:119915306-120069406","1p13-p11","marginal zone lymphoma, DLBCL, bladder","","","L,E"
"CD274","9:5456114-5467862","9p24","PMBL, Hodgkin lymphoma","","","L"
"CSF1R","5:150054069-150086427","5q32","MDS, CML, AML, hemangioblastoma, CCRCC","","","L,M,E"
"KMT2D","12:49021780-49055324","12q13.12","medulloblastoma, renal","","","O,E"
"BLM","15:90747393-90815279","15q26.1","","leukaemia, lymphoma, skin squamous cell, other tumour types","Bloom syndrome","L,E"
"NOTCH1","9:136496071-136545786","9q34.3","T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC","","","L,E"
"CBFB","16:67029409-67098733","16q22","AML","","","L"
"KMT2A","11:118436513-118522172","11q23","AML, ALL","","","L"
"MAX","14:65076476-65102339","14q23","pheochromocytoma, endometrioid carcinoma, colon carcinoma","pheochromocytoma","","E,O"
"CUL3","2:224474245-224585009","2q36.2","lung cancer","","","E"
"KMT2C","7:152136832-152435786","7q36.1","medulloblastoma","","","O"
"GMPS","3:155870871-155937692","3q24","AML","","","L"
"FOXO4","X:71096529-71102084","Xq13.1","AL, soft tissue sarcoma","","","L,M"
"FOXO3","6:108561209-108664855","6q21","AL","","","L"
"FHIT","3:59752226-60536962","3p14.2","pleomorphic salivary gland adenoma","","","E"
"FOXO1","13:40555680-40666212","13q14.1","alveolar rhabdomyosarcoma","","","M"
"BCL2L12","19:49665824-49673748","19q13.33","melanoma, SCC","","","E"
"SOCS1","16:11254843-11255478","16p13.13","Hodgkin lymphoma, PMBL","","","L"
"ZNF429","19:21505772-21538078","19p12","GBM","","","O"
"CLTCL1","22:19180219-19291641","22q11.21","ALCL","","","L"
"TPR","1:186313971-186375028","1q25","papillary thyroid, NSCLC","","","E"
"UBR5","8:102254302-102412234","8q22","mantle cell lymphoma, gastric, colorectal","","","L,E"
"ABL1","9:130835447-130885683","9q34.1","CML, ALL, T-ALL","","","L"
"ABL2","1:179107718-179143044","1q24-q25","AML","","","L"
"TNFRSF17","16:11965325-11967847","16p13.1","intestinal T-cell lymphoma","","","L"
"TNFRSF14","1:2556665-2563273","1p36.32","follicular lymphoma","","","L"
"KDSR","18:63331782-63367118","18q21.3","B-NHL","","","L"
"SRGAP3","3:8985519-9248951","3p25.3","pilocytic astrocytoma","","","O"
"FUS","","","","","",""
"ZBTB16","11:114063302-114250556","11q23.1","APL","","","L"
"FANCA","16:89738601-89816615","16q24.3","","AML, leukaemia","Fanconi anaemia A","L"
"FANCC","9:95101707-95249291","9q22.3","","AML, leukaemia","Fanconi anaemia C","L"
"FANCE","6:35452546-35466345","6p21-p22","","AML, leukaemia","Fanconi anaemia E","L"
"PALB2","16:23603459-23641157","16p12.1","","Wilms tumour, medulloblastoma, AML ,breast","Fanconi anaemia N, breast cancer susceptibility","L,O,E"
"FANCG","9:35074108-35079524","9p13","","AML, leukaemia","Fanconi anaemia G","L"
"QKI","6:163415194-163570710","6q26","angiocentric glioma, colorectal cancer","","","E,O"
"FANCF","11:22624686-22625810","11p15","","AML, leukaemia","Fanconi anaemia F","L"
"NFKB2","10:102395960-102402376","10q24","B-NHL","","","L"
"PTPRD","9:8317874-8733843","9p24.1-p23","lung cancer, kidney cancer, HNSCC, glioblastoma","","","E,O"
"BCL9","1:147611837-147624864","1q21","B-ALL","","","L"
"PTPRB","12:70521489-70609814","12q15-q21","angiosarcoma","","","E"
"CDK6","7:92615140-92833323","7q21-q22","ALL","","","L"
"MAFB","20:40687879-40688850","20q11.2-q13.1","MM","","","L"
"PTPRC","1:198639275-198756181","1q31-q32","T-ALL","","","L"
"BCL6","3:187722458-187733693","3q27","NHL, CLL","","","L"
"NBEA","13:34942821-35670991","13q13.3","large intestine carcinoma, multiple myeloma","","","E,L"
"CDK4","12:57748525-57751717","12q14","","melanoma","familial malignant melanoma","E"
"NACA","12:56712538-56724521","12q23-q24.1","NHL","","","L"
"BCL3","19:44748791-44759615","19q13","CLL","","","L"
"CNOT3","19:54142979-54155407","19q13.4","T-ALL","","","L"
"BCL2","18:63128625-63318666","18q21.3","NHL, CLL","","","L"
"MDM2","12:68808478-68839849","12q15","sarcoma, glioma, colorectal, other tumour types","","","M,O,E,L"
"NF1","17:31095310-31374155","17q12","neurofibroma, glioma","neurofibroma, glioma","neurofibromatosis type 1","O"
"FGFR1OP","6:166999414-167039979","6q27","MPN, NHL","","","L"
"MDM4","1:204525519-204549682","1q32","glioblastoma, bladder, retinoblastoma","","","M"
"NF2","22:29603999-29694802","22q12.2","meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma","neurofibromatosis type 2","O"
"LZTR1","22:20982372-20997348","22q11.21","glioblastoma","glioblastoma, schwannoma","Schwannomatosis-2","E"
"MAP3K13","3:185428582-185482456","3q27","breast","","","E"
"MYD88","3:38138662-38141286","3p22","ABC-DLBCL","","","L"
"NFE2L2","2:177230785-177264576","2q31","NSCLC, HNSCC","","","E"
"ALK","2:29193224-29920659","2p23","ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour","neuroblastoma","familial neuroblastoma","L,E,M"
"CNTNAP2","7:146116877-148415616","7q35-q36.1","glioma, melanoma","","","E,O"
"CIITA","16:10877332-10923304","16p13","PMBL, Hodgkin lymphoma","","","L"
"TRA","-0.5833333333333334","14q11.2","T-ALL","","","L"
"HSP90AB1","6:44248630-44253598","6p12","NHL","","","L"
"NUMA1","11:72003527-72035943","11q13","APL","","","L"
"FLT3","13:28004052-28100510","13q12","AML, ALL","","","L"
"TRB","-0.2916666666666667","7q34","T-ALL","","","L"
"FLT4","5:180608281-180649545","5q35.3","soft tissue sarcoma","","","M"
"TRD","-0.5833333333333334","14q11.2","T-cell leukaemia","","","L"
"PTEN","10:87864470-87965472","10q23.3","glioma, prostate, endometrial","harmartoma, glioma, prostate, endometrial","Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome","L,E,M,O"
"PIK3CB","3:138655389-138759343","3q22.3","SCC, NSCLC","","","E"
"CDC73","1:193122201-193250712","1q21-q31","parathyroid adenoma","parathyroid adenoma, multiple ossifying jaw fibroma","hyperparathyroidism-jaw tumour syndrome","E,M"
"PPP6C","9:125149673-125189718","9q33.3","melanoma","","","E"
"KIAA1549","7:138837906-138919418","7q34","pilocytic astrocytoma","","","O"
"DGCR8","22:20085964-20110108","22q11.21","Wilms tumour","","","O"
"ITGAV","2:186590339-186677292","2q32.1","large intestine carcinoma","","","E"
"ERC1","12:1027904-1490230","12p13.3","papillary thyroid, Spitzoid tumour","","","E"
"ZNF521","18:25062712-25350946","18q11.2","ALL","","","L"
"HSP90AA1","14:102081712-102139404","14q32.33","NHL","","","L"
"ATRX","X:77508351-77786001","Xq21.1","pancreatic neuroendocrine tumours, paediatric GBM","","","E"
"DNMT3A","2:25234279-25313984","2p23","AML","","","L"
"ARNT","1:150812021-150876567","1q21","AML","","","L"
"FOXL2","3:138945592-138946722","3q23","granulosa-cell tumour of the ovary","","","O"
"NRG1","8:32548727-32764402","8p12","NSCLC","","","E"
